source_row_number,id,latitude,longitude,location,vehicle_number,vehicle_type,description,violation_type,offence_code,created_datetime,closed_datetime,modified_datetime,device_id,created_by_id,center_code,police_station,data_sent_to_scita,junction_name,action_taken_timestamp,data_sent_to_scita_timestamp,updated_vehicle_number,updated_vehicle_type,validation_status,validation_timestamp
2,FKID...#fd39f4ef47,12.9255567,77.618665,"18th Main Road, Block 2, Koramangala, Bengaluru, Karnataka. Pin-560068 (India)",FKN0...#85bb96f191,CAR,NULL,"[""WRONG PARKING"",""PARKING NEAR ROAD CROSSING""]","[112,104]",2023-11-20 00:28:46+00,NULL,2023-11-28 04:48:04.582978+00,FKDE...#286b622fda,FKUS...#197633a7c4,9,Madiwala,TRUE,No Junction,NULL,NULL,FKN00GL0000,MAXI-CAB,approved,2023-11-30 03:08:24.818+00
3,FKID...#6534383278,12.9054633,77.7007781,"Sarjapura Main Road, The Grove, Janatha Colony, Doddakannelli, Bengaluru, Karnataka. Pin-560035 (India)",FKN0...#326c6d50ed,CAR,NULL,"[""NO PARKING""]",[113],2023-11-24 22:46:46+00,NULL,2023-11-24 23:00:24.115257+00,FKDE...#f54a2b3a3c,FKUS...#1d07264012,82,Bellandur,FALSE,No Junction,NULL,NULL,NULL,NULL,NULL,NULL
4,FKID...#8fc27f92ea,12.9254492,77.6185035,"Koramangala 2nd Block, Kormangala West, Bengaluru South City Corporation, Bengaluru, Bangalore South, Bengaluru Urban, Karnataka, 560034, India",FKN0...#04a1dabf28,CAR,NULL,"[""WRONG PARKING"",""PARKING IN A MAIN ROAD""]","[112,107]",2023-11-20 00:27:46+00,NULL,2023-11-28 04:47:02.33776+00,FKDE...#286b622fda,FKUS...#197633a7c4,9,Madiwala,TRUE,No Junction,NULL,NULL,FKN00GL0002,MAXI-CAB,approved,2023-11-30 03:08:56.998+00
5,FKID...#2368ad7270,12.956521,77.5186178,"6th Cross Road, Manasa Layout, Nagarbhavi, Bengaluru, Karnataka. Pin-560072 (India)",FKN0...#586354ad6a,SCOOTER,NULL,"[""NO PARKING""]",[113],2023-11-16 06:47:46+00,NULL,2023-11-18 04:46:57.216868+00,FKDE...#0361872f77,FKUS...#1989c00962,26,Byatarayanapura,TRUE,No Junction,NULL,NULL,FKN00GL0003,SCOOTER,approved,2023-11-18 23:35:12.428+00
6,FKID...#8b5b4279a6,12.9777667,77.5805453,"Kalidasa Road, Gandhinagar, Nehru Nagar, Bengaluru Central City Corporation, Bengaluru, Bangalore North, Bengaluru Urban, Karnataka, 560009, India",FKN0...#3ae8b2f1ac,TANKER,NULL,"[""NO PARKING""]",[113],2023-11-22 04:56:46+00,NULL,2023-11-28 02:44:50.46737+00,FKDE...#b945e5ebbb,FKUS...#7f095ef3f2,3,Upparpet,TRUE,BTP044 - Sagar Theatre Junction,NULL,NULL,FKN00GL0004,TANKER,approved,2023-11-30 03:11:32.796+00
7,FKID...#83a4e645df,12.9816772,77.6081248,"Dispensary Road, Tasker Town, Shivaji Nagar, Bengaluru, Karnataka. Pin-560001 (India)",FKN0...#cf5312eb4c,SCOOTER,NULL,"[""NO PARKING""]",[113],2023-11-28 07:04:46+00,NULL,2023-11-28 07:06:06.684969+00,FKDE...#54fc8534fa,FKUS...#45da22f0fb,16,Shivajinagar,TRUE,BTP051 - Safina Plaza Junction,NULL,NULL,FKN00GL0005,SCOOTER,approved,2023-11-30 04:32:19.24+00
8,FKID...#401f387689,12.9955535,77.6137265,"1st Cross Road, Silver Enclave, Frazer Town, Bengaluru, Karnataka. Pin-560005 (India)",FKN0...#7ffaa694ca,SCOOTER,NULL,"[""NO PARKING""]",[113],2023-11-28 06:55:46+00,NULL,2023-11-28 07:05:56.378259+00,FKDE...#ea920b368c,FKUS...#c1b52e9b19,14,Pulikeshinagar(F.Town),TRUE,No Junction,NULL,NULL,FKN00GL0006,SCOOTER,approved,2023-11-30 04:32:20.585+00
9,FKID...#be444e3b54,12.9978696,77.5438903,"Padmabhushan Dr MC Modi Road, Adarsha Layout, Basaveshwara Nagar, Bengaluru, Karnataka. Pin-560079 (India)",FKN0...#dfdc0fc566,SCOOTER,NULL,"[""WRONG PARKING""]",[112],2023-11-28 06:35:46+00,NULL,2023-11-28 07:04:59.161864+00,FKDE...#6c975df037,FKUS...#6893b22b58,30,Vijayanagara,TRUE,BTP205 - Modi Hospital Junction,NULL,NULL,FKN00GL0007,SCOOTER,approved,2023-11-30 04:32:49.436+00
10,FKID...#ed7939118a,12.9954021,77.6139993,"Coles Road, Silver Enclave, Frazer Town, Bengaluru, Karnataka. Pin-560005 (India)",FKN0...#849ccf7d8f,PASSENGER AUTO,NULL,"[""NO PARKING""]",[113],2023-11-28 06:56:46+00,NULL,2023-11-28 07:04:24.450788+00,FKDE...#ea920b368c,FKUS...#c1b52e9b19,14,Pulikeshinagar(F.Town),TRUE,No Junction,NULL,NULL,FKN00GL0008,PASSENGER AUTO,approved,2023-11-30 04:34:24.617+00
11,FKID...#2b03c21bec,12.9954054,77.6140177,"Coles Road, Silver Enclave, Frazer Town, Bengaluru, Karnataka. Pin-560005 (India)",FKN0...#e07d879bf4,SCOOTER,NULL,"[""NO PARKING""]",[113],2023-11-28 06:57:46+00,NULL,2023-11-28 07:03:59.927111+00,FKDE...#ea920b368c,FKUS...#c1b52e9b19,14,Pulikeshinagar(F.Town),TRUE,No Junction,NULL,NULL,FKN00GL0009,SCOOTER,approved,2023-11-30 04:34:21.682+00
12,FKID...#c8805704dc,12.9760117,77.5995401,"Sri ML Subbaraju Road, Mahatma Gandhi Circle, Shivaji Nagar, Bengaluru, Karnataka. Pin-560001 (India)",FKN0...#c800505603,CAR,NULL,"[""WRONG PARKING""]",[112],2023-12-22 03:04:46+00,NULL,2023-12-22 03:09:54.679433+00,FKDE...#d1aa2f948f,FKUS...#1599d6c9b2,2,Cubbon Park,TRUE,No Junction,NULL,NULL,FKN00GL0010,CAR,rejected,2023-12-22 23:03:56.908+00
13,FKID...#66326efe0b,12.9977199,77.5444952,"Padmabhushan Dr MC Modi Road, Adarsha Layout, Basaveshwara Nagar, Bengaluru, Karnataka. Pin-560079 (India)",FKN0...#e1ce6fc9c4,CAR,NULL,"[""WRONG PARKING""]",[112],2023-11-28 06:34:46+00,NULL,2023-11-28 07:03:47.64517+00,FKDE...#6c975df037,FKUS...#6893b22b58,30,Vijayanagara,TRUE,BTP205 - Modi Hospital Junction,NULL,NULL,FKN00GL0011,CAR,approved,2023-11-30 04:34:48.021+00
14,FKID...#0e425cf9e4,13.0081997,77.6933216,"MBT Road, Devasandra Junction, KR Puram, Bengaluru, Karnataka. Pin-560036 (India)",FKN0...#7b08429bb2,CAR,NULL,"[""NO PARKING""]",[113],2023-11-17 19:01:46+00,NULL,2023-11-17 19:19:02.241512+00,FKDE...#2b2b60d8e3,FKUS...#bff6e026ac,15,K.R. Pura,TRUE,No Junction,NULL,NULL,FKN00GL0012,CAR,approved,2023-11-17 19:28:16.324+00
15,FKID...#e6beadcad8,12.9815968,77.6079858,"Main Guard Cross Road, Tasker Town, Shivaji Nagar, Bengaluru, Karnataka. Pin-560001 (India)",FKN0...#2528a1ef5c,PASSENGER AUTO,NULL,"[""NO PARKING""]",[113],2023-11-28 07:01:46+00,NULL,2023-11-28 07:02:53.521097+00,FKDE...#54fc8534fa,FKUS...#45da22f0fb,16,Shivajinagar,TRUE,BTP051 - Safina Plaza Junction,NULL,NULL,FKN00GL0013,PASSENGER AUTO,approved,2023-11-30 04:35:40.148+00
16,FKID...#953c0532f2,12.9705743,77.5760169,"AS Char Main Road, Chickpete, Bengaluru, Karnataka. Pin-560053 (India)",FKN0...#80430efa36,SCOOTER,NULL,"[""NO PARKING""]",[113],2023-12-19 03:51:46+00,NULL,2023-12-19 05:28:08.317588+00,FKDE...#b88737d761,FKUS...#7ede03571f,28,City Market,FALSE,BTP043 - Upparpet Junction,NULL,NULL,NULL,NULL,NULL,NULL
17,FKID...#eea9ff872f,12.9943783,77.61564,"Coles Road, Ranka D Paradise, Frazer Town, Bengaluru, Karnataka. Pin-560005 (India)",FKN0...#a5570db667,SCOOTER,NULL,"[""NO PARKING""]",[113],2023-11-28 06:56:46+00,NULL,2023-11-28 07:00:43.68978+00,FKDE...#7c79076dc1,FKUS...#d08e66ad4e,14,Pulikeshinagar(F.Town),TRUE,No Junction,NULL,NULL,FKN00GL0015,SCOOTER,approved,2023-11-30 04:37:39.874+00
18,FKID...#92e6a6441a,12.9943783,77.61564,"Coles Road, Ranka D Paradise, Frazer Town, Bengaluru, Karnataka. Pin-560005 (India)",FKN0...#cd52cbaa8e,SCOOTER,NULL,"[""NO PARKING""]",[113],2023-11-28 06:57:46+00,NULL,2023-11-28 07:00:45.101097+00,FKDE...#7c79076dc1,FKUS...#d08e66ad4e,14,Pulikeshinagar(F.Town),TRUE,No Junction,NULL,NULL,FKN00GL0016,SCOOTER,approved,2023-11-30 04:37:34.994+00
19,FKID...#1ca191e87d,12.994455,77.6155883,"Coles Road, Ranka D Paradise, Frazer Town, Bengaluru, Karnataka. Pin-560005 (India)",FKN0...#b8e1e2c9c7,SCOOTER,NULL,"[""NO PARKING""]",[113],2023-11-28 06:57:46+00,NULL,2023-11-28 07:01:28.276715+00,FKDE...#7c79076dc1,FKUS...#d08e66ad4e,14,Pulikeshinagar(F.Town),TRUE,No Junction,NULL,NULL,FKN00GL0017,SCOOTER,rejected,2023-11-30 04:37:56.68+00
20,FKID...#2bc6db39b6,12.994455,77.6155883,"Coles Road, Ranka D Paradise, Frazer Town, Bengaluru, Karnataka. Pin-560005 (India)",FKN0...#9ec6bfe49e,SCOOTER,NULL,"[""NO PARKING""]",[113],2023-11-28 07:00:46+00,NULL,2023-11-28 07:01:28.857912+00,FKDE...#7c79076dc1,FKUS...#d08e66ad4e,14,Pulikeshinagar(F.Town),TRUE,No Junction,NULL,NULL,FKN00GL0018,SCOOTER,rejected,2023-11-30 04:37:58.282+00
21,FKID...#3be73bcbe8,12.912504769635532,77.63381218775751,"17th Cross Road, Sector 7, HSR Layout, Bengaluru, Karnataka. Pin-560102 (India)",FKN0...#829bae8ec3,SCOOTER,NULL,"[""WRONG PARKING""]",[112],2023-11-26 08:11:46+00,NULL,2023-11-27 21:01:00.594232+00,FKDE...#eb7db40858,FKUS...#40d03b46fc,45,HSR Layout,TRUE,No Junction,NULL,NULL,FKN00GL0019,SCOOTER,approved,2023-11-30 04:37:54.775+00
22,FKID...#acd2bf06f3,12.9818638,77.6076237,"Dispensary Road, Tasker Town, Shivaji Nagar, Bengaluru, Karnataka. Pin-560001 (India)",FKN0...#da5d4a1f22,SCOOTER,NULL,"[""WRONG PARKING""]",[112],2023-11-17 05:07:46+00,NULL,2023-11-17 05:14:46.028853+00,FKDE...#8efd407372,FKUS...#ef679a5c1f,16,Shivajinagar,TRUE,BTP051 - Safina Plaza Junction,NULL,NULL,FKN00GL0020,SCOOTER,approved,2023-11-18 23:50:57.339+00
23,FKID...#ff2e4602ca,12.8788916,77.5455426,"Konanakunte Main Road, SV Jasmine, BCMC Layout, Raghuvanahalli, Bengaluru, Karnataka. Pin-560062 (India)",FKN0...#cd88a0b81b,SCOOTER,NULL,"[""WRONG PARKING""]",[112],2023-11-16 01:03:46+00,NULL,2023-11-18 04:35:36.175195+00,FKDE...#a8cd05f967,FKUS...#87e3b16bf3,83,Thalagattapura,TRUE,No Junction,NULL,NULL,FKN00GL0021,SCOOTER,rejected,2023-11-18 23:52:14.338+00
24,FKID...#e0b64e8b50,13.0081888,77.6940167,"MBT Road, Devasandra Junction, KR Puram, Bengaluru, Karnataka. Pin-560036 (India)",FKN0...#7f028e9602,CAR,NULL,"[""NO PARKING""]",[113],2023-11-28 06:47:46+00,NULL,2023-11-28 06:58:07.026088+00,FKDE...#d4c718f573,FKUS...#ba0d1c6635,15,K.R. Pura,TRUE,No Junction,NULL,NULL,FKN00GL0022,CAR,approved,2023-11-30 04:39:10.109+00
25,FKID...#d9f22cd00b,12.899345,77.6755017,"Amrutha College Road, Azalea, Owners Court Layout, Kasavanahalli, Bengaluru, Karnataka. Pin-560035 (India)",FKN0...#03f311dd63,SCOOTER,NULL,"[""NO PARKING""]",[113],2023-11-20 02:20:46+00,NULL,2023-11-20 02:26:14.689345+00,FKDE...#254ed82006,FKUS...#23e5a955f5,82,Bellandur,FALSE,No Junction,NULL,NULL,NULL,NULL,NULL,NULL
26,FKID...#3aabfb269b,12.934068071777288,77.68976915672452,"Outer Ring Road, Prestige Silver Crest, Kadubisanahalli, Bengaluru, Karnataka. Pin-560103 (India)",FKN0...#65ecba5546,MOTOR CYCLE,NULL,"[""WRONG PARKING"",""NO PARKING"",""PARKING NEAR BUSTOP/SCHOOL/HOSPITAL ETC"",""DOUBLE PARKING"",""PARKING OPPOSITE TO ANOTHER PARKED VEHICLE"",""PARKING IN A MAIN ROAD""]","[112,113,111,109,108,107]",2024-03-14 22:43:46+00,NULL,2024-03-14 23:14:11.93647+00,FKDE...#64e1017ef2,FKUS...#32ec972696,13,HAL Old Airport,TRUE,No Junction,NULL,2024-04-01 17:45:48.438875+00,FKN00GL0024,MOTOR CYCLE,approved,2024-04-12 23:12:41.345+00
